-7.64361, -0.309969, -0.724395, -0.437418, 0.180538, -0.359491, -0.149954, -0.0525658, -0.00360143, -0.0253277, 0.0106274
-7.49784, -0.511679, -0.733869, -0.459942, 0.180511, -0.342246, -0.101044, -0.0401995, 0.0113786, -0.0368003, 0.00429665
-7.36676, -0.712946, -0.739566, -0.502288, 0.180778, -0.321416, -0.0550387, -0.0107931, 0.0188073, -0.0435741, -0.0087653
-7.21517, -0.918018, -0.742778, -0.529072, 0.174582, -0.291094, -0.0144217, 0.021846, 0.0237014, -0.0487686, -0.0203802
-7.00868, -1.13246, -0.745879, -0.511292, 0.153456, -0.24562, 0.0211041, 0.0470813, 0.0289306, -0.0526906, -0.0235662
-6.72238, -1.37747, -0.757064, -0.443103, 0.110699, -0.168877, 0.0605903, 0.0713787, 0.0345144, -0.0463325, -0.0145013
-6.37686, -1.65755, -0.777985, -0.360389, 0.047068, -0.0598606, 0.110998, 0.115361, 0.0325578, -0.01961, -0.00128659
-5.99932, -1.92994, -0.791213, -0.274471, -0.0321537, 0.0455611, 0.160387, 0.165906, 0.0191705, 0.0182264, 0.00650536
-5.60786, -2.15402, -0.779491, -0.175131, -0.114721, 0.113073, 0.194878, 0.192817, 0.000447035, 0.05044, 0.00562744
-5.21092, -2.30924, -0.732454, -0.0332311, -0.19274, 0.117191, 0.205729, 0.150939, -0.0147795, 0.0586073, -0.00167433
-4.79435, -2.43309, -0.664669, 0.165577, -0.268321, 0.0822283, 0.197103, 0.030377, -0.0266465, 0.0448166, -0.0125331
-4.34088, -2.53937, -0.591738, 0.376353, -0.320605, 0.0516613, 0.16683, -0.111765, -0.0379667, 0.0155084, -0.0222132
-3.83792, -2.62537, -0.516891, 0.554284, -0.340519, 0.0475004, 0.121513, -0.215404, -0.0481744, -0.0169117, -0.0264841
-3.27264, -2.67898, -0.427353, 0.668179, -0.330907, 0.0684505, 0.0748346, -0.228553, -0.0485863, -0.0328251, -0.0218949
-2.64098, -2.69791, -0.305032, 0.741755, -0.296566, 0.099261, 0.0239995, -0.156282, -0.0259652, -0.0302694, -0.00928577
